model,spearman_national,spearman_nyc,spearman_nyc_within_county,q5_q1_spread_national,q5_q1_spread_nyc,n_test,n_test_nyc,horizon,test_year,n_train
momentum_5y,0.1382310478729776,-0.2435049924764829,0.2613449656914178,0.025428449203177,-0.1553210600919545,17963,826,5,2018,190360
catch_up_price,0.4321197599550855,0.6744706780113499,0.5510413876175583,0.1111885288641555,0.3396765083287114,17963,826,5,2018,190360
catch_up_neighbors,0.2815649754785808,0.2422427120353729,0.3536755842640285,0.0696789246288164,0.1193101921637191,17963,826,5,2018,190360
beta_x_metro_trend,0.1176842816223705,0.107553974620717,0.4472442093550921,0.0302862019024489,0.0263148138584194,17963,826,5,2018,190360
gbm_national,0.2669234207169789,0.1894838598111963,0.4304098949520319,0.0635685925566492,0.0847091113011327,18397,829,5,2019,207100
gbm_recency,0.2776045174064226,0.2534990015129485,0.4171958869574456,0.0674249993493283,0.1282061825665335,18397,829,5,2019,207100
ridge_national,0.249184343742768,0.2440215785257777,0.3926939130522886,0.0565910154459299,0.1132861624235274,18397,829,5,2019,207100
gbm_county_target,0.2219609147317105,0.1534901129666829,0.4361245413209541,0.0554775289763538,0.0729121352885272,18397,829,5,2019,207100
gbm_nyc_only,0.0943439716374604,-0.2587572295791441,0.3267595125409941,0.0138952091268487,-0.170872060603238,18397,829,5,2019,207100
momentum_1y,0.2101734013770417,0.366895666586196,0.4722211156524341,0.0571412745046615,0.2171443007141442,18397,829,5,2019,207100
momentum_5y,0.1345547447419673,-0.0915446270561864,0.4163649132569417,0.0263973173089701,-0.063990087175573,18397,829,5,2019,207100
catch_up_price,0.3432769046793887,0.600029867200485,0.420104845802379,0.0877868856296572,0.3182920847422409,18397,829,5,2019,207100
catch_up_neighbors,0.2237868804876574,0.1550769643278532,0.2654015993111019,0.0529475397919549,0.0739421169130752,18397,829,5,2019,207100
beta_x_metro_trend,0.0483676426187409,0.1931976233311491,0.3546259342702961,0.0195700410679635,0.0736946939918811,18397,829,5,2019,207100
gbm_national,0.0874430446074214,0.1354052913810799,0.1227346596286498,0.0224628773592798,0.0656336137284991,18475,829,5,2020,224066
gbm_recency,0.1000412590395364,0.1477656785425648,0.142525539111119,0.0250352282000233,0.0799311409146563,18475,829,5,2020,224066
ridge_national,0.0738632997242138,0.1292956585349106,0.1258799584433692,0.0173148327659717,0.0739381195189895,18475,829,5,2020,224066
gbm_county_target,0.0545412542778264,0.0216429782696106,0.1308363766234984,0.0132573917069065,0.0218497316623492,18475,829,5,2020,224066
gbm_nyc_only,0.0029926177860207,-0.2168655110292747,0.1014040681477047,-0.0050160927736235,-0.1298039267408094,18475,829,5,2020,224066
momentum_1y,0.0546259337662245,0.2140843228159925,0.1503623714270976,0.0170897310905733,0.1586225330912812,18475,829,5,2020,224066
momentum_5y,0.0399825786950328,-0.0590874560215934,0.1802280032692656,0.0083138425819785,-0.0108192008888691,18475,829,5,2020,224066
catch_up_price,0.1481135988430075,0.4534150026444478,0.1292336848466425,0.0405911114235978,0.2321937911095254,18475,829,5,2020,224066
catch_up_neighbors,0.0718057308664188,0.0537950489065404,0.0748594035704318,0.0177678309659402,0.0317919990715438,18475,829,5,2020,224066
beta_x_metro_trend,-0.0286251759474142,0.2286341709266326,0.1700375971103213,0.0022413367837983,0.1316499485801154,18475,829,5,2020,224066
gbm_national,-0.0450401041898644,0.142478952364764,-0.1274793529967779,-0.0133295567443764,0.0914295721185629,18645,829,5,2021,241613
gbm_recency,-0.0411664096121857,0.1752655137253266,-0.1233780220693999,-0.0129729126020315,0.0961245088401814,18645,829,5,2021,241613
ridge_national,-0.0822325826414562,0.0552006526130746,-0.1203728603092691,-0.025061709134696,0.0451733067069828,18645,829,5,2021,241613
gbm_county_target,-0.0868352304288137,-0.0674088392169401,-0.1185845429681636,-0.0247214987062394,-0.0116584871574082,18645,829,5,2021,241613
gbm_nyc_only,-0.101133710284871,-0.027952392777698,-0.1369404763475884,-0.0287306209368852,0.0226851646304735,18645,829,5,2021,241613
momentum_1y,0.1458591412630178,0.5934847798389236,0.1406002622760243,0.0401299985274577,0.2385396337916479,18645,829,5,2021,241613
momentum_5y,0.0097442135362476,0.1622253847086038,-0.0054931466676306,0.003630107822221,0.0930269349687206,18645,829,5,2021,241613
catch_up_price,-0.0677081190520938,0.1358388923607578,-0.1430668439087576,-0.0187111472237617,0.089021409100123,18645,829,5,2021,241613
catch_up_neighbors,-0.0766476308085452,-0.044333346080339,-0.083222315875068,-0.0244168041025162,-0.0197593374760995,18645,829,5,2021,241613
beta_x_metro_trend,6.680508759598508e-05,0.5270295196025269,0.0374806339454461,0.0070099359328129,0.2216125727852512,18645,829,5,2021,241613
